fid,nameJa,nameEn,catJa,catEn,descJa,descEn,dir,mnsid,status,peakNumPos,peakNumNeg,peakNumPosN,peakNumNegN,peakNumPosS,peakNumNegS
13033,＜牛乳及び乳製品＞（チーズ類） ナチュラルチーズ カテージ,"Cheese, cottage",乳類,Milk and milk products,,,data/170911/13033,SE120_S130331,s1-published,,,,,,
13034,＜牛乳及び乳製品＞（チーズ類） ナチュラルチーズ カマンベール,"Cheese, Camembert",乳類,Milk and milk products,,,data/170911/13034,SE120_S130341,s1-published,,,,,,
13036,＜牛乳及び乳製品＞（チーズ類） ナチュラルチーズ ゴーダ,"Cheese, Gouda",乳類,Milk and milk products,,,data/170911/13036,SE120_S130361,s1-published,,,,,,
13037,＜牛乳及び乳製品＞（チーズ類） ナチュラルチーズ チェダー,"Cheese, Cheddar",乳類,Milk and milk products,,,data/170911/13037,SE120_S130371,s1-published,,,,,,
13038,＜牛乳及び乳製品＞（チーズ類） ナチュラルチーズ パルメザン,"Cheese, Parmesan",乳類,Milk and milk products,,,data/170406/13038,SE112_S130381,s1-published,,,,,,
13039,＜牛乳及び乳製品＞（チーズ類） ナチュラルチーズ ブルー,"Cheese, blue",乳類,Milk and milk products,,,data/170911/13039,SE120_S130391,s1-published,,,,,,
13040,＜牛乳及び乳製品＞（チーズ類） プロセスチーズ,"Cheeses, processed",乳類,Milk and milk products,,,data/170406/13040,SE112_S130401,s1-published,,,,,,
16005,＜アルコール飲料類＞（醸造酒類） 清酒 純米吟醸酒,"Fermented alcoholic beverage, ""Sake"", ""Junmai-ginjo"" (made with only rice, water and koji, brewed with labor-intensive steps, using highly polished rice)",し好飲料類,Beverages,,,data/170614/16005,SE117_S160051,s1-published,,,,,,
16006,＜アルコール飲料類＞（醸造酒類） ビール 淡色,"Fermented alcoholic beverage, beer, pale",し好飲料類,Beverages,,,data/180112/16006,SE169_S160061,s1-published,,,,,,
16007,＜アルコール飲料類＞（醸造酒類） ビール 黒,"Fermented alcoholic beverage, beer, black",し好飲料類,Beverages,,,data/180112/16007,SE169_S160071,s1-published,,,,,,
16011,＜アルコール飲料類＞（醸造酒類） ぶどう酒 赤,"Fermented alcoholic beverage, wine, red",し好飲料類,Beverages,,,data/170614/16011,SE117_S160111,s1-published,,,,,,
16016,＜アルコール飲料類＞（蒸留酒類）ウイスキー,"Distilled alcoholic beverage, whisky",し好飲料類,Beverages,,,data/170614/16016,SE117_S160161,s1-published,,,,,,
16022,＜アルコール飲料類＞（混成酒類）梅酒,"Compound alcoholic beverage, ""Umeshu"" (plum liquor made from Japanese apricots)",し好飲料類,Beverages,,,data/170614/16022,SE117_S160221,s1-published,,,,,,
16037,＜茶類＞ （緑茶類） せん茶 浸出液,"Green tea, ""Sencha"" (common grade tea ), infusion",し好飲料類,Beverages,,,data/170824/16037,SE119_S160371,s1-published,,,,,,
16040,＜茶類＞ （緑茶類） ほうじ茶 浸出液,"Green tea, ""Hoji-cha"" (roasted tea), infusion",し好飲料類,Beverages,,,data/170911/16040,SE120_S160401,s1-published,,,,,,
16042,＜茶類＞ （発酵茶類） ウーロン茶 浸出液,"Fermented tea, Oolong tea, infusion",し好飲料類,Beverages,,,data/170824/16042,SE119_S160421,s1-published,,,,,,
16043,＜茶類＞ （発酵茶類） 紅茶 茶,"Fermented tea, black tea, tea",し好飲料類,Beverages,,,data/170911/16043,SE120_S160431,s1-published,,,,,,
16044,＜茶類＞ （発酵茶類） 紅茶 浸出液,"Fermented tea, black tea, infusion",し好飲料類,Beverages,,,data/170824/16044,SE119_S160441,s1-published,,,,,,
16045,＜コーヒー・ココア類＞ コーヒー 浸出液,"Coffee, infusion",し好飲料類,Beverages,,,data/170808/16045,SE118_S160451,s1-published,,,,,,
16047,＜コーヒー・ココア類＞ コーヒー コーヒー飲料 乳成分入り 加糖,"Coffee, ready-to-drink coffee with milk and sugar, canned",し好飲料類,Beverages,,,data/170911/16047,SE120_S160471,s1-published,,,,,,
16055,＜その他＞ 麦茶 浸出液,"Mugi-cha (roasted barley tea), infusion",し好飲料類,Beverages,,,data/170614/16055,SE117_S160551,s1-published,,,,,,
16058,＜その他＞ （炭酸飲料類） ビール風味炭酸飲料,"Carbonated beverage, beer-flavored drink, alcohol free",し好飲料類,Beverages,,,data/180112/16058,SE169_S160581,s1-published,,,,,,
17001,＜調味料類＞（ウスターソース類） ウスターソース,"Japanese Worcester sauce, common type",調味料及び香辛料類,Seasonings and spices,,,data/170911/17001,SE120_S170011,s1-published,,,,,,
17015,＜調味料類＞（食酢類）穀物酢,"Vinegar, grain vinegar",調味料及び香辛料類,Seasonings and spices,,,data/171002/17015,SE121_S170151,s1-published,,,,,,
17016,＜調味料類＞（食酢類）米酢,"Vinegar, rice vinegar",調味料及び香辛料類,Seasonings and spices,,,data/170614/17016,SE117_S170161,s1-published,,,,,,
17017,＜調味料類＞（食酢類）果実酢 ぶどう酢,"Vinegar, fruit vinegar, wine vinegar",調味料及び香辛料類,Seasonings and spices,,,data/170808/17017,SE118_S170171,s1-published,,,,,,
17018,＜調味料類＞（食酢類）果実酢 りんご酢,"Vinegar, fruit vinegar, cider vinegar",調味料及び香辛料類,Seasonings and spices,,,data/170614/17018,SE117_S170181,s1-published,,,,,,
17019,＜調味料類＞（だし類）かつおだし,"Soup stock, ""Katsuo-bushi dashi"" (stock of ""Katsuo-bushi"") (cf. 10091""Katsuo-bushi"")",調味料及び香辛料類,Seasonings and spices,,,data/170824/17019,SE119_S170191,s1-published,,,,,,
17020,＜調味料類＞（だし類）昆布だし,"Soup stock, ""kombu dashi"" (stock of dried kombu )",調味料及び香辛料類,Seasonings and spices,,,data/170824/17020,SE119_S170201,s1-published,,,,,,
17021,＜調味料類＞（だし類）かつお・昆布だし,"Soup stock, ""Katsuo-bushi and kombu dashi"" (stock of ""Katsuo-bushi"" and dried kombu) (cf. 10091""Katsuo-bushi"")",調味料及び香辛料類,Seasonings and spices,,,data/170824/17021,SE119_S170211,s1-published,,,,,,
17022,＜調味料類＞（だし類）しいたけだし,"Soup stock, ""Shiitake dashi"" (stock of dried Shiitake mushroom)",調味料及び香辛料類,Seasonings and spices,,,data/170824/17022,SE119_S170221,s1-published,,,,,,
17023,＜調味料類＞（だし類）煮干しだし,"Soup stock, ""Niboshi dashi"" (stock of small dried sardine)",調味料及び香辛料類,Seasonings and spices,,,data/170824/17023,SE119_S170231,s1-published,,,,,,
17031,＜調味料類＞（調味ソース類）オイスターソース,"Seasoning sauce, oyster sauce",調味料及び香辛料類,Seasonings and spices,,,data/170911/17031,SE120_S170311,s1-published,,,,,,
17036,＜調味料類＞（トマト加工品類）トマトケチャップ,"Tomato products, ketchup",調味料及び香辛料類,Seasonings and spices,,,data/171109/17036,SE122_S170361,s1-published,,,,,,
17057,＜香辛料類＞からし 粉,"Spices, mustard, powder",調味料及び香辛料類,Seasonings and spices,,,data/180112/17057,SE169_S170571,s1-published,,,,,,
17063,＜香辛料類＞こしょう 黒 粉,"Spices, pepper, black, ground",調味料及び香辛料類,Seasonings and spices,,,data/171109/17063,SE122_S170631,s1-published,,,,,,
17076,＜香辛料類＞にんにく おろし,"Spice, garlic, paste",調味料及び香辛料類,Seasonings and spices,,,data/171109/17076,SE122_S170761,s1-published,,,,,,
17090,＜調味料類＞（食酢類）黒酢,"Vinegar, black rice vinegar",調味料及び香辛料類,Seasonings and spices,,,data/170911/17090,SE120_S170901,s1-published,,,,,,
17093,＜調味料類＞（だし類）顆粒中華だし,"Stock powder, chicken, pork and vegetable",調味料及び香辛料類,Seasonings and spices,,,data/180112/17093,SE169_S170931,s1-published,,,,,,
